"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",11300,"OKC@GS 09:00PM ET",53.734,"OKC"
"SF","LeBron James",10800,"Tor@Cle 08:30PM ET",48.598,"Cle"
"PG","Stephen Curry",10500,"OKC@GS 09:00PM ET",52.346,"GS"
"PF","Draymond Green",10400,"OKC@GS 09:00PM ET",43.525,"GS"
"SF","Kevin Durant",9900,"OKC@GS 09:00PM ET",49.286,"OKC"
"PG","Kyle Lowry",8500,"Tor@Cle 08:30PM ET",41.142,"Tor"
"PF","Kevin Love",8400,"Tor@Cle 08:30PM ET",35.935,"Cle"
"PG","Kyrie Irving",8200,"Tor@Cle 08:30PM ET",33.721,"Cle"
"SG","Klay Thompson",7800,"OKC@GS 09:00PM ET",34.356,"GS"
"SG","DeMar DeRozan",7300,"Tor@Cle 08:30PM ET",36.052,"Tor"
"C","Jonas Valanciunas",6800,"Tor@Cle 08:30PM ET",29.700,"Tor"
"C","Bismack Biyombo",6200,"Tor@Cle 08:30PM ET",19.400,"Tor"
"C","Steven Adams",5900,"OKC@GS 09:00PM ET",21.049,"OKC"
"SG","J.R. Smith",5200,"Tor@Cle 08:30PM ET",22.209,"Cle"
"PF","Serge Ibaka",5100,"OKC@GS 09:00PM ET",26.683,"OKC"
"PF","Tristan Thompson",5100,"Tor@Cle 08:30PM ET",22.144,"Cle"
"C","Enes Kanter",4700,"OKC@GS 09:00PM ET",24.435,"OKC"
"PF","Patrick Patterson",4600,"Tor@Cle 08:30PM ET",16.291,"Tor"
"PG","Shaun Livingston",4500,"OKC@GS 09:00PM ET",16.151,"GS"
"SF","DeMarre Carroll",4400,"Tor@Cle 08:30PM ET",21.301,"Tor"
"SF","Harrison Barnes",4100,"OKC@GS 09:00PM ET",21.852,"GS"
"SF","Andre Iguodala",3900,"OKC@GS 09:00PM ET",20.053,"GS"
"SG","Dion Waiters",3800,"OKC@GS 09:00PM ET",18.070,"OKC"
"C","Andrew Bogut",3700,"OKC@GS 09:00PM ET",21.281,"GS"
"PG","Cory Joseph",3300,"Tor@Cle 08:30PM ET",18.008,"Tor"
"PF","Channing Frye",3200,"Tor@Cle 08:30PM ET",13.805,"Cle"
"SG","Terrence Ross",3000,"Tor@Cle 08:30PM ET",16.227,"Tor"
"SG","Andre Roberson",2800,"OKC@GS 09:00PM ET",13.142,"OKC"
"SG","Iman Shumpert",2500,"Tor@Cle 08:30PM ET",15.073,"Cle"
"PG","Matthew Dellavedova",2200,"Tor@Cle 08:30PM ET",17.598,"Cle"
"C","Nazr Mohammed",2000,"OKC@GS 09:00PM ET",2.188,"OKC"
"SF","Richard Jefferson",2000,"Tor@Cle 08:30PM ET",10.143,"Cle"
"SG","Dahntay Jones",2000,"Tor@Cle 08:30PM ET",7.500,"Cle"
"C","Nick Collison",2000,"OKC@GS 09:00PM ET",7.306,"OKC"
"SG","James Jones",2000,"Tor@Cle 08:30PM ET",6.405,"Cle"
"PG","Mo Williams",2000,"Tor@Cle 08:30PM ET",13.892,"Cle"
"PF","Luis Scola",2000,"Tor@Cle 08:30PM ET",17.148,"Tor"
"PG","Randy Foye",2000,"OKC@GS 09:00PM ET",12.269,"OKC"
"PG","Leandro Barbosa",2000,"OKC@GS 09:00PM ET",11.641,"GS"
"C","Anderson Varejao",2000,"OKC@GS 09:00PM ET",7.534,"GS"
"C","Sasha Kaun",2000,"Tor@Cle 08:30PM ET",2.980,"Cle"
"SG","Anthony Morrow",2000,"OKC@GS 09:00PM ET",7.838,"OKC"
"PF","Jason Thompson",2000,"Tor@Cle 08:30PM ET",8.255,"Tor"
"SG","Brandon Rush",2000,"OKC@GS 09:00PM ET",9.673,"GS"
"C","Marreese Speights",2000,"OKC@GS 09:00PM ET",13.637,"GS"
"SF","James Johnson",2000,"Tor@Cle 08:30PM ET",10.992,"Tor"
"SF","Kyle Singler",2000,"OKC@GS 09:00PM ET",7.496,"OKC"
"C","Festus Ezeli",2000,"OKC@GS 09:00PM ET",16.505,"GS"
"SG","Ian Clark",2000,"OKC@GS 09:00PM ET",7.370,"GS"
"SF","Josh Huestis",2000,"OKC@GS 09:00PM ET",5.750,"OKC"
"SG","Jordan McRae",2000,"Tor@Cle 08:30PM ET",7.240,"Cle"
"C","Timofey Mozgov",2000,"Tor@Cle 08:30PM ET",13.444,"Cle"
"PF","James Michael McAdoo",2000,"OKC@GS 09:00PM ET",5.663,"GS"
"SG","Norman Powell",2000,"Tor@Cle 08:30PM ET",10.919,"Tor"
"C","Lucas Nogueira",2000,"Tor@Cle 08:30PM ET",6.048,"Tor"
"PF","Mitch McGary",2000,"OKC@GS 09:00PM ET",2.775,"OKC"
"PG","Delon Wright",2000,"Tor@Cle 08:30PM ET",6.952,"Tor"
"PG","Cameron Payne",2000,"OKC@GS 09:00PM ET",10.242,"OKC"
"SF","Bruno Caboclo",2000,"Tor@Cle 08:30PM ET",1.917,"Tor"
"PF","Kevon Looney",2000,"OKC@GS 09:00PM ET",4.300,"GS"
